chap_num,para_num,sent_num,token_num,token_str,term_str
1,0,0,0,The,the
1,0,0,1,family,family
1,0,0,2,of,of
1,0,0,3,Dashwood,dashwood
1,0,0,4,had,had
1,0,0,5,long,long
1,0,0,6,been,been
1,0,0,7,settled,settled
1,0,0,8,in,in
1,0,0,9,Sussex,sussex
1,0,1,0,Their,their
1,0,1,1,estate,estate
1,0,1,2,was,was
1,0,1,3,large,large
1,0,1,4,and,and
1,0,1,5,their,their
1,0,1,6,residence,residence
1,0,1,7,was,was
1,0,1,8,at,at
1,0,1,9,Norland,norland
1,0,1,10,Park,park
1,0,1,11,in,in
1,0,1,12,the,the
1,0,1,13,centre,centre
1,0,1,14,of,of
1,0,1,15,their,their
1,0,1,16,property,property
1,0,1,17,where,where
1,0,1,18,for,for
1,0,1,19,many,many
1,0,1,20,generations,generations
1,0,1,21,they,they
1,0,1,22,had,had
1,0,1,23,lived,lived
1,0,1,24,in,in
1,0,1,25,so,so
1,0,1,26,respectable,respectable
1,0,1,27,a,a
1,0,1,28,manner,manner
1,0,1,29,as,as
1,0,1,30,to,to
1,0,1,31,engage,engage
1,0,1,32,the,the
1,0,1,33,general,general
1,0,1,34,good,good
1,0,1,35,opinion,opinion
1,0,1,36,of,of
1,0,1,37,their,their
1,0,1,38,surrounding,surrounding
1,0,1,39,acquaintance,acquaintance
1,0,2,0,The,the
1,0,2,1,late,late
1,0,2,2,owner,owner
1,0,2,3,of,of
1,0,2,4,this,this
1,0,2,5,estate,estate
1,0,2,6,was,was
1,0,2,7,a,a
1,0,2,8,single,single
1,0,2,9,man,man
1,0,2,10,who,who
1,0,2,11,lived,lived
1,0,2,12,to,to
1,0,2,13,a,a
1,0,2,14,very,very
1,0,2,15,advanced,advanced
1,0,2,16,age,age
1,0,2,17,and,and
1,0,2,18,who,who
1,0,2,19,for,for
1,0,2,20,many,many
1,0,2,21,years,years
1,0,2,22,of,of
1,0,2,23,his,his
1,0,2,24,life,life
1,0,2,25,had,had
1,0,2,26,a,a
