term_str,n,n_chars,p,i,max_pos,max_pos_group,n_pos_group,cat_pos_group,n_pos,cat_pos,stem_porter,stem_snowball,stem_lancaster
1,1,1,1.3510774842937243e-06,19.49745815372736,CD,CD,1,{'CD'},1,{'CD'},1,1,1
1790,1,4,1.3510774842937243e-06,19.49745815372736,CD,CD,1,{'CD'},1,{'CD'},1790,1790,1790
1799,2,4,2.7021549685874485e-06,18.49745815372736,CD,CD,1,{'CD'},1,{'CD'},1799,1799,1799
1801more,1,8,1.3510774842937243e-06,19.49745815372736,CD,CD,1,{'CD'},1,{'CD'},1801more,1801more,1801more
1807,1,4,1.3510774842937243e-06,19.49745815372736,CD,CD,1,{'CD'},1,{'CD'},1807,1807,1807
1825,1,4,1.3510774842937243e-06,19.49745815372736,CD,CD,1,{'CD'},1,{'CD'},1825,1825,1825
1826,1,4,1.3510774842937243e-06,19.49745815372736,CD,CD,1,{'CD'},1,{'CD'},1826,1826,1826
1828,1,4,1.3510774842937243e-06,19.49745815372736,CD,CD,1,{'CD'},1,{'CD'},1828,1828,1828
1829,2,4,2.7021549685874485e-06,18.49745815372736,CD,CD,1,{'CD'},1,{'CD'},1829,1829,1829
1831,1,4,1.3510774842937243e-06,19.49745815372736,CD,CD,1,{'CD'},1,{'CD'},1831,1831,1831
1832,1,4,1.3510774842937243e-06,19.49745815372736,CD,CD,1,{'CD'},1,{'CD'},1832,1832,1832
19,1,2,1.3510774842937243e-06,19.49745815372736,NNP,NN,1,{'NN'},1,{'NNP'},19,19,19
1st,6,3,8.106464905762345e-06,16.912495653006207,CD,CD,2,"{'NN', 'CD'}",2,"{'NN', 'CD'}",1st,1st,1st
2,3,1,4.053232452881173e-06,17.912495653006207,CD,CD,2,"{'NN', 'CD'}",2,"{'NNP', 'CD'}",2,2,2
20th,1,4,1.3510774842937243e-06,19.49745815372736,CD,CD,1,{'CD'},1,{'CD'},20th,20th,20th
235,1,3,1.3510774842937243e-06,19.49745815372736,CD,CD,1,{'CD'},1,{'CD'},235,235,235
25th,1,4,1.3510774842937243e-06,19.49745815372736,CD,CD,1,{'CD'},1,{'CD'},25th,25th,25th
27th,1,4,1.3510774842937243e-06,19.49745815372736,CD,CD,1,{'CD'},1,{'CD'},27th,27th,27th
2d,8,2,1.0808619874349794e-05,16.49745815372736,CD,CD,1,{'CD'},1,{'CD'},2d,2d,2d
2r,1,2,1.3510774842937243e-06,19.49745815372736,CD,CD,1,{'CD'},1,{'CD'},2r,2r,2r
3,1,1,1.3510774842937243e-06,19.49745815372736,CD,CD,1,{'CD'},1,{'CD'},3,3,3
30th,3,4,4.053232452881173e-06,17.912495653006207,CD,CD,2,"{'JJ', 'CD'}",2,"{'JJ', 'CD'}",30th,30th,30th
5th,1,3,1.3510774842937243e-06,19.49745815372736,CD,CD,1,{'CD'},1,{'CD'},5th,5th,5th
9th,1,3,1.3510774842937243e-06,19.49745815372736,CD,CD,1,{'CD'},1,{'CD'},9th,9th,9th
