book_id,source_file_path,author,title,chap_regex,book_len,n_chaps
105,/Users/michaelvaden/GithubRepos/DS5001-Workplace/data/austen-melville-set/AUSTEN_JANE_PERSUASION-pg105.txt,"AUSTEN, JANE",PERSUASION,^Chapter\s+\d+$,83624,24
121,/Users/michaelvaden/GithubRepos/DS5001-Workplace/data/austen-melville-set/AUSTEN_JANE_NORTHANGER_ABBEY-pg121.txt,"AUSTEN, JANE",NORTHANGER ABBEY,^CHAPTER\s+\d+$,77601,31
141,/Users/michaelvaden/GithubRepos/DS5001-Workplace/data/austen-melville-set/AUSTEN_JANE_MANSFIELD_PARK-pg141.txt,"AUSTEN, JANE",MANSFIELD PARK,^CHAPTER\s+[IVXLCM]+$,160378,48
158,/Users/michaelvaden/GithubRepos/DS5001-Workplace/data/austen-melville-set/AUSTEN_JANE_EMMA-pg158.txt,"AUSTEN, JANE",EMMA,^\s*CHAPTER\s+[IVXLCM]+\s*$,160926,55
161,/Users/michaelvaden/GithubRepos/DS5001-Workplace/data/austen-melville-set/AUSTEN_JANE_SENSE_AND_SENSIBILITY-pg161.txt,"AUSTEN, JANE",SENSE AND SENSIBILITY,^CHAPTER\s+\d+$,119873,50
946,/Users/michaelvaden/GithubRepos/DS5001-Workplace/data/austen-melville-set/AUSTEN_JANE_LADY_SUSAN-pg946.txt,"AUSTEN, JANE",LADY SUSAN,^\s*[IVXLCM]+\s*$,23116,41
1212,/Users/michaelvaden/GithubRepos/DS5001-Workplace/data/austen-melville-set/AUSTEN_JANE_LOVE_AND_FREINDSHIP_SIC_-pg1212.txt,"AUSTEN, JANE",LOVE AND FREINDSHIP SIC,^\s*LETTER .* to .*$,33265,24
1342,/Users/michaelvaden/GithubRepos/DS5001-Workplace/data/austen-melville-set/AUSTEN_JANE_PRIDE_AND_PREJUDICE-pg1342.txt,"AUSTEN, JANE",PRIDE AND PREJUDICE,^Chapter\s+\d+$,122126,61
1900,/Users/michaelvaden/GithubRepos/DS5001-Workplace/data/austen-melville-set/MELVILLE_HERMAN_TYPEE_A_ROMANCE_OF_THE_SOUTH_SEAS-pg1900.txt,"MELVILLE, HERMAN",TYPEE A ROMANCE OF THE SOUTH SEAS,^CHAPTER ,108021,34
2701,/Users/michaelvaden/GithubRepos/DS5001-Workplace/data/austen-melville-set/MELVILLE_HERMAN_MOBY_DICK_OR_THE_WHALE-pg2701.txt,"MELVILLE, HERMAN",MOBY DICK OR THE WHALE,^(?:ETYMOLOGY|EXTRACTS|CHAPTER),215504,138
4045,/Users/michaelvaden/GithubRepos/DS5001-Workplace/data/austen-melville-set/MELVILLE_HERMAN_OMOO_ADVENTURES_IN_THE_SOUTH_SEAS-pg4045.txt,"MELVILLE, HERMAN",OMOO ADVENTURES IN THE SOUTH SEAS,^\s*CHAPTER\s+[IVXLCM]+\.\s*$,102352,82
8118,/Users/michaelvaden/GithubRepos/DS5001-Workplace/data/austen-melville-set/MELVILLE_HERMAN_REDBURN_HIS_FIRST_VOYAGE_BEING_THE_SAILOR_BOY_CONFESSIONS_AND_REMINISCENCES_OF_THE_SON_OF_A_GENTLEMAN_IN_THE_MERCHANT_NAVY-pg8118.txt,"MELVILLE, HERMAN",REDBURN HIS FIRST VOYAGE BEING THE SAILOR BOY CONFESSIONS AND REMINISCENCES OF THE SON OF A GENTLEMAN IN THE MERCHANT NAVY,^\s*[IVXLCM]+\. .*$,119243,78
10712,/Users/michaelvaden/GithubRepos/DS5001-Workplace/data/austen-melville-set/MELVILLE_HERMAN_WHITE_JACKET_OR_THE_WORLD_ON_A_MAN_OF_WAR-pg10712.txt,"MELVILLE, HERMAN",WHITE JACKET OR THE WORLD ON A MAN OF WAR,^CHAPTER\s+[IVXLCM]+\.\s*$,143310,92
13720,/Users/michaelvaden/GithubRepos/DS5001-Workplace/data/austen-melville-set/MELVILLE_HERMAN_MARDI_AND_A_VOYAGE_THITHER_VOL_I-pg13720.txt,"MELVILLE, HERMAN",MARDI AND A VOYAGE THITHER VOL I,^\s*CHAPTER\s+[IVXLCM]+\s*$,96878,104
13721,/Users/michaelvaden/GithubRepos/DS5001-Workplace/data/austen-melville-set/MELVILLE_HERMAN_MARDI_AND_A_VOYAGE_THITHER_VOL_II-pg13721.txt,"MELVILLE, HERMAN",MARDI AND A VOYAGE THITHER VOL II,^\s*CHAPTER\s+[IVXLCM]+\s*$,102092,91
15422,/Users/michaelvaden/GithubRepos/DS5001-Workplace/data/austen-melville-set/MELVILLE_HERMAN_ISRAEL_POTTER_HIS_FIFTY_YEARS_OF_EXILE-pg15422.txt,"MELVILLE, HERMAN",ISRAEL POTTER HIS FIFTY YEARS OF EXILE,^\s*CHAPTER\s+[IVXLCM]+\.,65516,27
15859,/Users/michaelvaden/GithubRepos/DS5001-Workplace/data/austen-melville-set/MELVILLE_HERMAN_THE_PIAZZA_TALES-pg15859.txt,"MELVILLE, HERMAN",THE PIAZZA TALES,"^\s*[A-Z,;-]+\.\s*$",75491,1
21816,/Users/michaelvaden/GithubRepos/DS5001-Workplace/data/austen-melville-set/MELVILLE_HERMAN_THE_CONFIDENCE_MAN_HIS_MASQUERADE-pg21816.txt,"MELVILLE, HERMAN",THE CONFIDENCE MAN HIS MASQUERADE,^CHAPTER\s+[IVXLCM]+\.?$,95315,90
34970,/Users/michaelvaden/GithubRepos/DS5001-Workplace/data/austen-melville-set/MELVILLE_HERMAN_PIERRE_OR_THE_AMBIGUITIES-pg34970.txt,"MELVILLE, HERMAN",PIERRE OR THE AMBIGUITIES,^\s*[IVXLCM]+\.\s*$,155056,114
